segment_id,timestamp,zone,congestion_index,seasonal_z,iso_score,iso_anomaly,z_anomaly,anomaly_agreement,incident_count
SEG001,2024-01-01 08:00:00,Central,1.0,2.371,-0.055,1,0,0,1
SEG001,2024-01-03 09:00:00,Central,1.0,3.285,-0.06,1,1,1,1
SEG001,2024-01-03 10:00:00,Central,1.0,3.687,-0.0002,1,1,1,0
SEG001,2024-01-04 18:00:00,Central,1.0,2.707,-0.0332,1,0,0,1
SEG001,2024-01-09 12:00:00,Central,1.0,4.271,-0.0448,1,1,1,1
SEG001,2024-01-09 22:00:00,Central,1.0,6.443,-0.022,1,1,1,1
SEG001,2024-01-11 18:00:00,Central,1.0,2.707,-0.0491,1,0,0,1
SEG001,2024-01-11 19:00:00,Central,1.0,4.012,-0.0201,1,1,1,0
SEG001,2024-01-14 20:00:00,Central,1.0,4.306,-0.021,1,1,1,1
SEG001,2024-01-15 09:00:00,Central,1.0,3.2,-0.0582,1,1,1,1
SEG001,2024-01-16 18:00:00,Central,1.0,3.014,-0.0551,1,1,1,1
SEG001,2024-01-16 19:00:00,Central,1.0,3.988,-0.0371,1,1,1,0
SEG001,2024-01-19 16:00:00,Central,1.0,2.454,-0.0504,1,0,0,1
SEG001,2024-01-25 07:00:00,Central,1.0,4.574,-0.0229,1,1,1,1
SEG001,2024-01-25 08:00:00,Central,1.0,2.365,-0.0016,1,0,0,0
SEG001,2024-01-25 15:00:00,Central,1.0,4.266,-0.0387,1,1,1,1
SEG001,2024-02-06 19:00:00,Central,1.0,3.988,-0.0746,1,1,1,1
SEG001,2024-02-07 19:00:00,Central,1.0,3.528,-0.0363,1,1,1,1
SEG001,2024-02-24 13:00:00,Central,1.0,4.848,-0.0515,1,1,1,1
SEG001,2024-02-24 17:00:00,Central,1.0,4.507,-0.0453,1,1,1,1
SEG001,2024-02-24 18:00:00,Central,1.0,4.664,-0.0021,1,1,1,0
SEG001,2024-02-26 08:00:00,Central,1.0,2.371,-0.0256,1,0,0,1
SEG001,2024-02-26 09:00:00,Central,1.0,3.2,-0.0177,1,1,1,0
SEG001,2024-02-27 16:00:00,Central,1.0,3.413,-0.0822,1,1,1,1
SEG001,2024-02-27 17:00:00,Central,1.0,2.833,-0.0414,1,0,0,0
SEG001,2024-03-01 08:00:00,Central,1.0,2.544,-0.0396,1,0,0,0
SEG001,2024-03-14 08:00:00,Central,1.0,2.365,-0.0319,1,0,0,1
SEG001,2024-03-14 16:00:00,Central,1.0,3.026,-0.0362,1,1,1,1
SEG001,2024-03-21 08:00:00,Central,1.0,2.365,-0.028,1,0,0,1
SEG001,2024-03-21 09:00:00,Central,1.0,3.244,-0.0365,1,1,1,0
SEG001,2024-03-21 14:00:00,Central,1.0,4.651,-0.0692,1,1,1,1
SEG001,2024-03-27 10:00:00,Central,1.0,3.687,-0.0267,1,1,1,1
SEG001,2024-03-27 11:00:00,Central,1.0,5.525,-0.0012,1,1,1,1
SEG001,2024-04-02 11:00:00,Central,1.0,5.548,-0.0385,1,1,1,1
SEG001,2024-04-02 12:00:00,Central,1.0,4.271,-0.027,1,1,1,0
SEG001,2024-04-05 06:00:00,Central,1.0,5.248,-0.0512,1,1,1,1
SEG001,2024-04-05 08:00:00,Central,1.0,2.544,-0.0172,1,0,0,0
SEG001,2024-04-17 09:00:00,Central,1.0,3.285,-0.0434,1,1,1,1
SEG001,2024-04-20 07:00:00,Central,1.0,5.254,-0.0507,1,1,1,1
SEG001,2024-04-20 08:00:00,Central,1.0,3.481,-0.021,1,1,1,0
SEG001,2024-04-24 19:00:00,Central,1.0,3.528,-0.0511,1,1,1,1
