antecedent,consequent,support,confidence,lift,leverage,conviction,antecedent_size
"SEVERITY=Minor, TIME=Night",CONGESTION=Free flow,0.0501,0.9415,6.0072,0.0418,14.4243,2
"CONGESTION=Free flow, WEEKEND=No",TIME=Night,0.076,0.7638,4.9744,0.0607,3.5834,2
"TIME=Night, WEATHER=Clear",CONGESTION=Free flow,0.0584,0.7368,4.7012,0.046,3.2044,2
"TIME=Night, VEHICLES=2-3",CONGESTION=Free flow,0.064,0.7254,4.6283,0.0502,3.0711,2
TIME=Night,"CONGESTION=Free flow, PEAK=No",0.1102,0.718,4.6221,0.0864,2.9954,1
"CONGESTION=Free flow, PEAK=No",TIME=Night,0.1102,0.7097,4.6221,0.0864,2.9157,2
TIME=Night,CONGESTION=Free flow,0.1102,0.718,4.5811,0.0862,2.9905,1
"PEAK=No, TIME=Night",CONGESTION=Free flow,0.1102,0.718,4.5811,0.0862,2.9905,2
CONGESTION=Free flow,TIME=Night,0.1102,0.7034,4.5811,0.0862,2.8538,1
CONGESTION=Free flow,"PEAK=No, TIME=Night",0.1102,0.7034,4.5811,0.0862,2.8538,1
"CONGESTION=Free flow, VEHICLES=2-3",TIME=Night,0.064,0.6988,4.5514,0.0499,2.8106,2
"CONGESTION=Free flow, WEATHER=Clear",TIME=Night,0.0584,0.6885,4.4842,0.0454,2.7176,2
"TIME=Night, WEEKEND=No",CONGESTION=Free flow,0.076,0.6936,4.4251,0.0588,2.7519,2
"CONGESTION=Free flow, SEVERITY=Minor",TIME=Night,0.0501,0.6145,4.0018,0.0376,2.1955,2
SEVERITY=Critical,"CONGESTION=Severe, TYPE=Collision",0.0742,0.6539,3.6701,0.054,2.3747,1
"CONGESTION=Free flow, LANES_BLOCKED=0",SEVERITY=Minor,0.0622,0.7615,3.2854,0.0433,3.2213,2
"LANES_BLOCKED=0, TYPE=Breakdown",SEVERITY=Minor,0.0529,0.685,2.9555,0.035,2.4391,2
"LANES_BLOCKED=0, WEATHER=Clear",SEVERITY=Minor,0.1032,0.6557,2.8291,0.0667,2.2315,2
"DURATION=20-45m, LANES_BLOCKED=0",SEVERITY=Minor,0.0697,0.6506,2.8069,0.0448,2.1987,2
"LANES_BLOCKED=0, PEAK=No",SEVERITY=Minor,0.1404,0.6451,2.7832,0.09,2.1647,2
SEVERITY=Minor,"LANES_BLOCKED=0, PEAK=No",0.1404,0.6059,2.7832,0.09,1.9852,1
"CONGESTION=Light, LANES_BLOCKED=0",SEVERITY=Minor,0.067,0.6416,2.7679,0.0428,2.1433,2
"CONGESTION=Severe, TIME=Evening",PEAK=Yes,0.1286,0.8675,2.6563,0.0802,5.0816,2
"ROAD=Collector, SEVERITY=Minor",LANES_BLOCKED=0,0.0619,0.8372,2.6028,0.0381,4.167,2
"CONGESTION=Light, SEVERITY=Minor",LANES_BLOCKED=0,0.067,0.8313,2.5844,0.041,4.021,2
"DURATION=>90m, TIME=Evening",PEAK=Yes,0.057,0.8367,2.5622,0.0348,4.1248,2
"SEVERITY=Serious, TIME=Evening",PEAK=Yes,0.0616,0.8339,2.5535,0.0375,4.0541,2
TIME=Evening,"CONGESTION=Severe, PEAK=Yes",0.1286,0.6274,2.5265,0.0777,2.0174,1
"LANES_BLOCKED=0, TIME=Evening",PEAK=Yes,0.0521,0.8238,2.5227,0.0314,3.8227,2
"RESPONSE=Normal, TIME=Evening",PEAK=Yes,0.0518,0.8221,2.5173,0.0312,3.785,2
"LANES_BLOCKED=0, VEHICLES=2-3",SEVERITY=Minor,0.1058,0.5832,2.5162,0.0638,1.8432,2
"TIME=Evening, VEHICLES=4+",PEAK=Yes,0.0507,0.821,2.5139,0.0305,3.7612,2
"RESPONSE=Fast, TIME=Evening",PEAK=Yes,0.058,0.8206,2.5128,0.0349,3.7538,2
