zone,road_type,day_name,avg_congestion,avg_speed,incidents
Central,Arterial,Friday,0.6608,26.15,64
Central,Arterial,Thursday,0.6349,27.42,62
North,Arterial,Friday,0.6162,28.31,57
Central,Arterial,Tuesday,0.6159,28.31,65
Central,Arterial,Wednesday,0.6146,28.27,54
Central,Arterial,Monday,0.6022,28.9,45
North,Arterial,Thursday,0.5909,29.34,56
North,Arterial,Wednesday,0.5729,30.24,46
North,Arterial,Tuesday,0.5706,30.42,53
North,Arterial,Monday,0.5606,30.82,41
Central,Highway,Friday,0.516,54.99,8
Central,Highway,Thursday,0.5123,55.12,13
Central,Arterial,Saturday,0.512,33.07,44
North,Highway,Friday,0.4994,56.05,33
North,Arterial,Saturday,0.4752,34.83,36
Central,Highway,Tuesday,0.4739,58.03,9
North,Highway,Thursday,0.4738,58.24,27
Central,Highway,Monday,0.4701,58.25,10
Central,Highway,Wednesday,0.4698,58.38,7
North,Highway,Tuesday,0.469,58.45,33
North,Highway,Wednesday,0.465,58.82,29
North,Highway,Monday,0.4571,59.45,35
Central,Highway,Saturday,0.401,63.44,6
North,Highway,Saturday,0.3925,64.54,34
Central,Arterial,Sunday,0.3882,38.88,45
North,Arterial,Sunday,0.3612,40.17,31
Central,Highway,Sunday,0.305,71.21,6
North,Highway,Sunday,0.291,72.48,22
