zone,segment_id,road_type,hour,avg_congestion,avg_speed,incidents
Central,SEG022,Arterial,17,0.841,17.52,17
Central,SEG044,Arterial,17,0.8395,17.63,24
Central,SEG029,Arterial,17,0.833,18.01,19
Central,SEG044,Arterial,8,0.8278,18.33,19
Central,SEG022,Arterial,18,0.8228,18.47,27
Central,SEG022,Arterial,8,0.8181,18.78,9
Central,SEG029,Arterial,8,0.8159,18.72,8
Central,SEG044,Arterial,18,0.8069,19.07,20
Central,SEG002,Arterial,17,0.8052,19.21,18
Central,SEG029,Arterial,18,0.8042,19.4,16
Central,SEG002,Arterial,8,0.7891,20.05,8
Central,SEG002,Arterial,18,0.7774,20.37,18
Central,SEG022,Arterial,16,0.7518,22.1,16
Central,SEG029,Arterial,16,0.7488,22.05,15
Central,SEG044,Arterial,16,0.7471,22.16,19
Central,SEG029,Arterial,7,0.7417,22.37,17
Central,SEG022,Arterial,7,0.7392,22.46,13
Central,SEG044,Arterial,7,0.7295,22.92,21
Central,SEG002,Arterial,16,0.7283,23.06,10
Central,SEG002,Arterial,7,0.7149,23.66,18
Central,SEG023,Residential,17,0.7149,11.89,7
Central,SEG023,Residential,8,0.7114,11.9,7
Central,SEG044,Arterial,9,0.7062,24.03,17
Central,SEG022,Arterial,9,0.7044,24.31,12
Central,SEG029,Arterial,9,0.7017,24.08,13
Central,SEG023,Residential,18,0.6927,12.34,7
Central,SEG002,Arterial,9,0.6871,24.99,14
Central,SEG001,Collector,17,0.6708,21.25,13
Central,SEG022,Arterial,19,0.6624,26.23,18
Central,SEG057,Arterial,17,0.6602,26.28,8
Central,SEG001,Collector,8,0.6574,21.81,16
Central,SEG029,Arterial,19,0.6546,26.43,15
Central,SEG057,Arterial,8,0.6537,26.36,16
Central,SEG044,Arterial,19,0.6444,26.64,17
Central,SEG023,Residential,16,0.6415,13.61,13
Central,SEG057,Arterial,18,0.637,27.13,17
Central,SEG001,Collector,18,0.6344,22.72,15
Central,SEG022,Arterial,15,0.6255,27.68,13
Central,SEG023,Residential,7,0.6241,13.98,1
Central,SEG002,Arterial,19,0.6239,27.99,9
Central,SEG044,Arterial,15,0.6217,27.86,20
Central,SEG029,Arterial,15,0.6169,28.19,7
Central,SEG022,Arterial,12,0.6099,28.58,10
Central,SEG002,Arterial,15,0.6073,28.62,17
Central,SEG044,Arterial,12,0.6069,28.71,16
Central,SEG029,Arterial,12,0.6027,28.77,14
Central,SEG023,Residential,9,0.5998,14.61,10
Central,SEG029,Arterial,10,0.5965,29.03,15
Central,SEG022,Arterial,10,0.5955,29.37,15
Central,SEG029,Arterial,13,0.5946,29.22,10
Central,SEG044,Arterial,13,0.5943,29.27,17
Central,SEG044,Arterial,10,0.5938,29.35,13
Central,SEG022,Arterial,13,0.5928,29.27,16
Central,SEG001,Collector,16,0.5901,24.65,10
Central,SEG002,Arterial,12,0.5857,29.59,17
Central,SEG001,Collector,7,0.5842,24.81,13
Central,SEG022,Arterial,11,0.584,29.6,13
Central,SEG057,Arterial,16,0.5839,29.71,12
Central,SEG044,Arterial,11,0.5805,29.76,18
Central,SEG044,Arterial,14,0.5793,29.95,14
Central,SEG004,Collector,17,0.5784,25.13,12
Central,SEG022,Arterial,14,0.578,29.97,14
Central,SEG057,Arterial,7,0.5761,30.09,8
Central,SEG029,Arterial,14,0.5758,29.95,16
Central,SEG029,Arterial,11,0.5745,30.07,13
Central,SEG002,Arterial,10,0.5743,30.28,10
Central,SEG004,Collector,8,0.5663,25.59,7
Central,SEG002,Arterial,13,0.5638,30.77,11
Central,SEG001,Collector,9,0.5582,25.73,12
Central,SEG023,Residential,19,0.5551,15.63,9
Central,SEG057,Arterial,9,0.5529,31.32,8
Central,SEG004,Collector,18,0.5516,26.07,7
Central,SEG002,Arterial,11,0.5487,31.29,6
Central,SEG002,Arterial,14,0.5467,31.41,11
Central,SEG028,Highway,17,0.5367,53.42,19
Central,SEG028,Highway,8,0.5273,53.93,21
Central,SEG036,Arterial,17,0.5242,32.43,12
Central,SEG004,Collector,16,0.5206,27.25,15
Central,SEG023,Residential,15,0.5192,16.2,5
Central,SEG036,Arterial,8,0.5183,32.72,10
Central,SEG023,Residential,12,0.5122,16.5,3
Central,SEG022,Arterial,6,0.5121,33.02,13
Central,SEG029,Arterial,6,0.5121,33.07,11
Central,SEG057,Arterial,19,0.5116,33.24,15
Central,SEG028,Highway,18,0.5109,55.18,14
