zone,year,month,month_name,observations,avg_congestion,avg_speed,incidents,pct_congested_hours
Central,2024,1,January,9672,0.3693,38.88,259,15.93
Central,2024,2,February,9048,0.3773,38.49,265,16.69
Central,2024,3,March,9672,0.3647,39.06,238,16.06
Central,2024,4,April,9360,0.3698,38.84,250,16.52
Central,2024,5,May,9672,0.3827,38.29,271,17.86
Central,2024,6,June,9360,0.3648,39.09,221,16.21
Central,2024,7,July,9672,0.3801,38.4,235,17.86
Central,2024,8,August,9672,0.3746,38.61,251,17.45
Central,2024,9,September,9360,0.3774,38.47,242,17.55
Central,2024,10,October,9672,0.3862,38.06,265,19.02
Central,2024,11,November,9360,0.3874,38.06,230,19.38
Central,2024,12,December,9360,0.3811,38.3,242,18.86
East,2024,1,January,5952,0.3643,34.23,124,14.28
East,2024,2,February,5568,0.3694,34.0,117,14.55
East,2024,3,March,5952,0.3581,34.48,119,14.05
East,2024,4,April,5760,0.3638,34.24,133,15.21
East,2024,5,May,5952,0.3727,33.88,116,15.39
East,2024,6,June,5760,0.3565,34.58,120,14.37
East,2024,7,July,5952,0.3702,33.99,122,15.81
East,2024,8,August,5952,0.3653,34.27,123,15.04
East,2024,9,September,5760,0.3649,34.25,123,14.69
East,2024,10,October,5952,0.3752,33.79,120,16.03
East,2024,11,November,5760,0.3769,33.75,122,17.2
East,2024,12,December,5760,0.3695,34.05,111,15.5
North,2024,1,January,12648,0.3369,44.33,337,10.42
North,2024,2,February,11832,0.3457,43.9,305,11.03
North,2024,3,March,12648,0.3367,44.36,316,10.64
North,2024,4,April,12240,0.3378,44.34,307,10.85
North,2024,5,May,12648,0.3489,43.74,299,11.57
North,2024,6,June,12240,0.3341,44.5,279,10.84
North,2024,7,July,12648,0.3463,43.84,280,11.87
North,2024,8,August,12648,0.3423,44.05,323,11.71
North,2024,9,September,12240,0.3436,43.98,278,11.27
North,2024,10,October,12648,0.3546,43.46,338,13.09
North,2024,11,November,12240,0.3574,43.3,351,14.19
North,2024,12,December,12240,0.3476,43.81,280,12.61
South,2024,1,January,10416,0.3538,36.26,196,12.78
South,2024,2,February,9744,0.3604,35.97,198,13.6
South,2024,3,March,10416,0.351,36.38,221,13.23
South,2024,4,April,10080,0.3516,36.36,205,13.04
South,2024,5,May,10416,0.3676,35.68,237,15.02
South,2024,6,June,10080,0.3497,36.45,229,13.06
South,2024,7,July,10416,0.3643,35.87,221,14.85
South,2024,8,August,10416,0.359,36.06,229,14.21
South,2024,9,September,10080,0.3572,36.21,204,13.71
South,2024,10,October,10416,0.3689,35.69,209,15.19
South,2024,11,November,10080,0.3701,35.67,193,15.97
South,2024,12,December,10080,0.3638,35.94,212,15.16
West,2024,1,January,5952,0.3363,36.62,120,9.58
West,2024,2,February,5568,0.3441,36.31,117,10.87
West,2024,3,March,5952,0.3356,36.65,139,9.96
West,2024,4,April,5760,0.3367,36.67,116,10.0
West,2024,5,May,5952,0.3508,36.03,144,11.51
West,2024,6,June,5760,0.3322,36.86,115,10.31
West,2024,7,July,5952,0.3484,36.11,130,11.9
West,2024,8,August,5952,0.3403,36.46,118,11.06
West,2024,9,September,5760,0.3425,36.4,128,11.04
West,2024,10,October,5952,0.3521,35.9,141,12.21
West,2024,11,November,5760,0.356,35.8,152,13.07
West,2024,12,December,5760,0.3465,36.18,132,11.77
