segment_id,zone,road_type,lanes,length_km,latitude,longitude,avg_congestion,peak_congestion,avg_speed_ratio,pct_congested_hours,incidents,observations,peak_offpeak_ratio,weekend_ratio,wet_penalty,incident_rate_per_1k_h,cluster,cluster_label,dbscan_cluster,pca_1,pca_2
SEG001,Central,Collector,1,4.64,12.98456,77.63935,0.3854,0.7392,0.6491,16.69,193,8760,1.9205,0.728,0.078,22.032,0,Chronic peak-hour bottleneck,0,0.9073,-0.6033
SEG002,Central,Arterial,2,3.94,12.79287,77.45389,0.4716,0.9134,0.5827,33.95,278,8760,1.906,0.72,0.0808,31.735,0,Chronic peak-hour bottleneck,1,3.2808,-0.5171
SEG003,South,Residential,1,1.62,12.97013,77.62177,0.3279,0.6215,0.6941,6.37,88,8760,1.9118,0.7296,0.0817,10.046,1,Stable low-stress segment,0,-1.2038,0.7974
SEG004,Central,Collector,2,5.31,13.02986,77.65699,0.3328,0.6361,0.6903,7.34,165,8760,1.9059,0.7229,0.0814,18.836,1,Stable low-stress segment,0,-0.6916,0.431
SEG005,North,Highway,5,4.76,12.76756,77.41443,0.2835,0.5499,0.7289,3.17,257,8760,1.9074,0.7283,0.0833,29.338,1,Stable low-stress segment,2,-1.7285,0.3745
SEG006,East,Residential,1,4.91,12.94118,77.57355,0.2732,0.519,0.7353,1.46,86,8760,1.8899,0.7363,0.0808,9.817,1,Stable low-stress segment,-1,-2.9864,-0.4818
SEG007,East,Collector,2,1.2,12.75423,77.70714,0.4183,0.803,0.6239,23.39,188,8760,1.9195,0.7185,0.0798,21.461,0,Chronic peak-hour bottleneck,-1,2.0067,0.3397
SEG008,South,Collector,1,1.15,12.98126,77.51633,0.313,0.5959,0.7064,4.85,167,8760,1.905,0.7311,0.0823,19.064,1,Stable low-stress segment,6,-1.5203,0.2723
SEG009,North,Highway,4,6.06,12.75042,77.57508,0.2648,0.5143,0.7439,2.65,273,8760,1.8929,0.7233,0.0841,31.164,1,Stable low-stress segment,-1,-2.1541,0.3072
SEG010,West,Arterial,2,2.83,13.05694,77.56923,0.2769,0.5357,0.7337,2.36,226,8760,1.8799,0.7293,0.0834,25.799,1,Stable low-stress segment,-1,-2.5113,-0.4402
SEG011,South,Arterial,3,2.24,12.76947,77.51869,0.4306,0.8338,0.6152,25.42,264,8760,1.9124,0.7275,0.0812,30.137,0,Chronic peak-hour bottleneck,-1,1.9893,-0.3881
SEG012,West,Residential,1,3.38,13.0652,77.74064,0.263,0.4968,0.742,1.12,104,8760,1.9043,0.7298,0.0833,11.872,1,Stable low-stress segment,-1,-2.7257,1.0317
SEG013,East,Collector,1,4.44,13.00832,77.69127,0.3729,0.7182,0.6587,14.21,178,8760,1.927,0.7273,0.0822,20.32,0,Chronic peak-hour bottleneck,0,0.5259,1.0241
SEG014,South,Residential,1,6.23,12.93373,77.44981,0.4514,0.8587,0.5977,30.21,119,8760,1.9021,0.7178,0.0801,13.584,0,Chronic peak-hour bottleneck,4,2.3453,0.1366
SEG015,Central,Arterial,3,2.15,13.00174,77.76893,0.2712,0.5122,0.7383,1.91,209,8760,1.8689,0.7233,0.083,23.858,1,Stable low-stress segment,-1,-2.6707,-0.5318
SEG016,North,Arterial,2,6.04,13.00624,77.72651,0.4499,0.8859,0.5996,29.34,270,8760,1.9219,0.7203,0.0799,30.822,0,Chronic peak-hour bottleneck,3,3.0575,-0.1507
SEG017,West,Collector,2,0.55,13.06057,77.51221,0.4505,0.8761,0.5985,29.55,204,8760,1.9114,0.7121,0.0823,23.288,0,Chronic peak-hour bottleneck,-1,2.8897,0.9702
